Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-07-28,6.86,7.295,6.677,7.217,6859329.18,2022-07-28 23:59:59.999000064,47808997.45995,158802,3470622.71,24192834.52094,0
2022-07-29,7.218,8.118,7.11,7.883,12769838.65,2022-07-29 23:59:59.999000064,98558590.00732,273463,6293081.32,48570993.16088,0
2022-07-30,7.883,8.21,7.668,7.82,8374838.83,2022-07-30 23:59:59.999000064,66142845.40776,181751,4270621.61,33742663.76592,0
2022-07-31,7.82,8.092,7.578,7.651,6185487.29,2022-07-31 23:59:59.999000064,48549080.23288,132777,3202007.98,25124330.91754,0
2022-08-01,7.652,7.88,7.407,7.57,5133233.8,2022-08-01 23:59:59.999000064,39088080.69869,105400,2470346.45,18820993.69694,0
2022-08-02,7.572,7.665,7.02,7.177,7189977.1,2022-08-02 23:59:59.999000064,52079531.55883,156953,3580837.2,25932057.29508,0
2022-08-03,7.179,7.638,7.05,7.284,4537931.2,2022-08-03 23:59:59.999000064,33546977.34701,107615,2285610.5,16905683.9749,0
2022-08-04,7.284,7.54,7.176,7.364,3904773.33,2022-08-04 23:59:59.999000064,28733209.82378,90292,1898349.28,13973500.60548,0
2022-08-05,7.364,7.9,7.348,7.878,5243900.93,2022-08-05 23:59:59.999000064,40357692.11313,107470,2555229.3,19668966.74768,0
2022-08-06,7.88,8.11,7.735,7.792,3210801.4,2022-08-06 23:59:59.999000064,25345730.59329,67952,1500134.19,11845307.35235,0
2022-08-07,7.792,8.375,7.658,8.343,4206785.59,2022-08-07 23:59:59.999000064,33651300.35938,87006,2222666.92,17771222.06139,0
2022-08-08,8.343,8.78,8.224,8.608,8106496.09,2022-08-08 23:59:59.999000064,69310259.30124,166335,4166892.72,35610441.03626,0
2022-08-09,8.605,8.953,8.27,8.742,9851012.47,2022-08-09 23:59:59.999000064,84864026.06994,193308,4841954.12,41769241.44728,0
2022-08-10,8.74,9.3,8.297,9.055,9014475.12,2022-08-10 23:59:59.999000064,79825735.52954,212862,4413313.49,39137320.25311,0
2022-08-11,9.056,9.227,8.823,8.958,6036670.62,2022-08-11 23:59:59.999000064,54635868.17544,138799,2899028.24,26246619.19412,0
2022-08-12,8.96,9.5,8.8,9.324,7821288.89,2022-08-12 23:59:59.999000064,71928677.34532,175455,3955072.56,36408447.54881,0
2022-08-13,9.326,9.482,9.06,9.144,3780601.51,2022-08-13 23:59:59.999000064,34905834.67888,90500,1757210.5,16219589.39421,0
2022-08-14,9.147,9.369,8.677,8.765,4419480.65,2022-08-14 23:59:59.999000064,39749353.87508,104792,2080480.15,18719609.99328,0
2022-08-15,8.768,9.057,8.493,8.646,5174239.24,2022-08-15 23:59:59.999000064,45055104.74294,119772,2482825.73,21627978.80917,0
2022-08-16,8.644,8.826,8.37,8.452,3458071.07,2022-08-16 23:59:59.999000064,29624458.82304,85532,1677104.33,14364665.74464,0
2022-08-17,8.45,8.749,7.99,8.061,5048616.87,2022-08-17 23:59:59.999000064,41955340.16401,110763,2441513.1,20306429.09331,0
2022-08-18,8.061,8.241,7.615,7.649,3942547.81,2022-08-18 23:59:59.999000064,31618611.90682,96784,1955958.09,15692002.12634,0
2022-08-19,7.647,7.701,6.816,6.899,8503684.17,2022-08-19 23:59:59.999000064,61153670.24644,169384,3933865.42,28311577.95706,0
2022-08-20,6.898,7.207,6.66,6.9,5183524.99,2022-08-20 23:59:59.999000064,36145198.46848,103369,2572697.8,17951715.80088,0
2022-08-21,6.899,7.177,6.88,7.082,3494331.78,2022-08-21 23:59:59.999000064,24608503.5207,69314,1755423.54,12367007.69603,0
2022-08-22,7.083,7.088,6.68,7.044,3717077.28,2022-08-22 23:59:59.999000064,25530427.23032,73567,1829950.72,12564675.69888,0
2022-08-23,7.043,7.355,6.772,7.241,4171438.41,2022-08-23 23:59:59.999000064,29604683.193,84813,2154655.86,15294385.3525,0
2022-08-24,7.243,7.376,7.016,7.124,2677109.42,2022-08-24 23:59:59.999000064,19178724.23715,60514,1260000.22,9033267.8715,0
2022-08-25,7.123,7.372,6.998,7.124,3854369.74,2022-08-25 23:59:59.999000064,27617025.38008,75708,2000814.67,14331500.18305,0
2022-08-26,7.125,7.187,6.404,6.504,5882866.0,2022-08-26 23:59:59.999000064,40263869.003,119266,2771192.25,18984780.64848,0
2022-08-27,6.501,6.614,6.414,6.529,3261835.63,2022-08-27 23:59:59.999000064,21266674.965,66483,1638395.49,10682724.0711,0
2022-08-28,6.531,6.634,6.226,6.255,3410582.54,2022-08-28 23:59:59.999000064,22016912.24138,60282,1666401.88,10758664.60932,0
2022-08-29,6.255,6.734,6.2,6.7,3497049.43,2022-08-29 23:59:59.999000064,22597963.90913,66959,1781994.91,11536957.89248,0
2022-08-30,6.699,6.827,6.366,6.556,3526118.71,2022-08-30 23:59:59.999000064,23364279.41051,72911,1754876.51,11626889.33075,0
2022-08-31,6.558,6.9,6.545,6.627,3745292.73,2022-08-31 23:59:59.999000064,25150740.90064,70679,1804812.73,12125454.30016,0
2022-09-01,6.627,6.961,6.445,6.925,3358074.69,2022-09-01 23:59:59.999000064,22290267.38214,75843,1666931.09,11071926.61181,0
2022-09-02,6.924,7.24,6.787,6.926,3995703.78,2022-09-02 23:59:59.999000064,27975817.74945,86973,1896145.31,13281776.75902,0
2022-09-03,6.926,6.966,6.721,6.859,1632727.92,2022-09-03 23:59:59.999000064,11180622.5627,34984,817399.3,5597430.39212,0
2022-09-04,6.859,7.278,6.79,7.156,4063993.58,2022-09-04 23:59:59.999000064,28731529.93182,88444,2214267.98,15666006.42218,0
2022-09-05,7.153,7.424,7.094,7.375,4038036.05,2022-09-05 23:59:59.999000064,29157524.86369,83927,2087605.6,15078531.40975,0
2022-09-06,7.375,7.568,6.576,6.659,5614260.23,2022-09-06 23:59:59.999000064,39622443.78449,128715,2673375.51,18881864.26633,0
2022-09-07,6.656,7.15,6.57,7.085,4855936.5,2022-09-07 23:59:59.999000064,32982903.96032,98382,2412807.32,16396143.14012,0
2022-09-08,7.086,7.5,7.006,7.406,5886218.74,2022-09-08 23:59:59.999000064,42815707.8057,114269,3054747.9,22231136.74558,0
2022-09-09,7.406,8.099,7.392,7.742,7480952.81,2022-09-09 23:59:59.999000064,58479606.59632,166837,3691056.9,28847411.29013,0
2022-09-10,7.746,8.034,7.616,7.904,6041837.88,2022-09-10 23:59:59.999000064,47341623.50823,139622,3038971.97,23814143.59532,0
2022-09-11,7.906,8.173,7.732,8.028,5046847.02,2022-09-11 23:59:59.999000064,40108401.79013,108488,2556485.33,20321492.84659,0
2022-09-12,8.029,8.3,7.609,7.762,6491820.37,2022-09-12 23:59:59.999000064,51621488.53888,158489,3153599.36,25078844.08208,0
2022-09-13,7.759,7.963,7.02,7.025,7208485.39,2022-09-13 23:59:59.999000064,53776344.29322,155824,3444565.37,25701910.43606,0
2022-09-14,7.024,7.54,6.982,7.456,5913599.99,2022-09-14 23:59:59.999000064,43274790.40934,120786,3048286.77,22289499.1298,0
2022-09-15,7.454,7.605,7.011,7.566,7092549.47,2022-09-15 23:59:59.999000064,51848441.89125,150177,3495792.68,25550652.1056,0
2022-09-16,7.568,7.803,7.419,7.656,6626471.8,2022-09-16 23:59:59.999000064,50484446.25131,150600,3328926.51,25370608.68843,0
2022-09-17,7.657,8.143,7.641,8.092,5062423.99,2022-09-17 23:59:59.999000064,40162313.48519,109787,2641863.93,20963637.29157,0
2022-09-18,8.092,8.14,7.402,7.523,5466342.65,2022-09-18 23:59:59.999000064,42768091.98391,134037,2658589.43,20794499.49339,0
2022-09-19,7.524,7.677,7.005,7.301,7816123.17,2022-09-19 23:59:59.999000064,56711372.88069,164375,3849721.05,27933953.84833,0
2022-09-20,7.3,7.337,6.81,6.883,5309023.06,2022-09-20 23:59:59.999000064,37589384.58074,101881,2539043.06,17973848.85642,0
2022-09-21,6.884,7.318,6.519,6.68,8284440.77,2022-09-21 23:59:59.999000064,57418597.63909,167569,4150956.93,28809816.68425,0
2022-09-22,6.679,7.176,6.638,7.123,4570101.39,2022-09-22 23:59:59.999000064,31725321.03978,84590,2337635.81,16235532.76618,0
2022-09-23,7.123,7.492,6.963,7.449,7636318.05,2022-09-23 23:59:59.999000064,54796588.81423,150217,3704151.63,26606127.1619,0
2022-09-24,7.45,7.874,7.371,7.629,6935588.81,2022-09-24 23:59:59.999000064,52838264.16569,145633,3448932.32,26285109.73062,0
2022-09-25,7.629,8.078,7.563,7.865,8545949.27,2022-09-25 23:59:59.999000064,67223442.56234,186080,4424860.28,34817372.17639,0
2022-09-26,7.866,7.957,7.465,7.945,6539945.09,2022-09-26 23:59:59.999000064,50568452.08945,144834,3183918.77,24635662.37731,0
2022-09-27,7.942,8.399,7.651,8.056,11918766.06,2022-09-27 23:59:59.999000064,96376105.35531,226708,6422561.35,51932376.24985,0
2022-09-28,8.056,8.54,7.722,7.795,16016947.82,2022-09-28 23:59:59.999000064,129864233.21631,348714,7603432.76,61725951.8514,0
2022-09-29,7.795,7.949,7.57,7.899,7686852.42,2022-09-29 23:59:59.999000064,59629415.48128,151751,3871228.98,30038051.92534,0
2022-09-30,7.904,7.919,7.505,7.585,5589081.1,2022-09-30 23:59:59.999000064,43081976.47168,99775,2560182.0,19741909.76416,0
2022-10-01,7.584,7.646,7.313,7.394,3432480.55,2022-10-01 23:59:59.999000064,25707960.62466,63129,1569391.54,11749697.76225,0
2022-10-02,7.393,7.545,7.09,7.11,4104285.81,2022-10-02 23:59:59.999000064,30054052.35212,79567,1921110.49,14080883.31989,0
2022-10-03,7.111,7.354,7.01,7.33,5135856.74,2022-10-03 23:59:59.999000064,36913418.83145,92436,2458996.97,17676879.85783,0
2022-10-04,7.328,7.83,7.323,7.723,6319868.05,2022-10-04 23:59:59.999000064,48311938.89082,123183,3340173.08,25543479.25415,0
2022-10-05,7.724,7.943,7.585,7.875,6151566.03,2022-10-05 23:59:59.999000064,47763393.60037,112268,3081839.68,23947376.60636,0
2022-10-06,7.876,7.939,7.595,7.632,4060166.94,2022-10-06 23:59:59.999000064,31618387.5434,80137,1859992.85,14494206.11032,0
2022-10-07,7.63,7.802,7.473,7.606,4087837.73,2022-10-07 23:59:59.999000064,31133283.90935,74316,1929770.67,14696107.60214,0
2022-10-08,7.606,7.656,7.339,7.455,2060120.82,2022-10-08 23:59:59.999000064,15452064.55222,42073,997872.83,7483035.56125,0
2022-10-09,7.455,7.657,7.417,7.63,1649107.98,2022-10-09 23:59:59.999000064,12449216.75935,41974,806303.83,6089834.91983,0
2022-10-10,7.628,7.733,7.321,7.335,3592487.93,2022-10-10 23:59:59.999000064,27157209.69339,80634,1710375.94,12936481.29732,0
2022-10-11,7.334,7.384,7.068,7.135,4132067.46,2022-10-11 23:59:59.999000064,29809359.56152,95884,1856562.76,13397092.62057,0
2022-10-12,7.135,7.278,7.087,7.145,2205045.13,2022-10-12 23:59:59.999000064,15824076.15696,47066,1004004.42,7205592.8373,0
2022-10-13,7.145,7.157,6.306,7.027,7403456.5,2022-10-13 23:59:59.999000064,50097183.4845,169568,3464091.42,23451006.65257,0
2022-10-14,7.026,7.25,6.796,6.887,4417987.63,2022-10-14 23:59:59.999000064,31215130.87252,89284,1943915.09,13746369.90452,0
2022-10-15,6.886,6.991,6.818,6.886,1997815.4,2022-10-15 23:59:59.999000064,13798762.56723,41959,1050036.61,7257955.73557,0
2022-10-16,6.886,7.237,6.876,7.173,2251234.69,2022-10-16 23:59:59.999000064,15940568.83857,57914,1149459.29,8143135.34856,0
2022-10-17,7.167,7.374,7.067,7.328,3223224.95,2022-10-17 23:59:59.999000064,23364961.14815,61534,1394806.79,10112242.1338,0
2022-10-18,7.33,7.372,6.963,7.127,3812172.36,2022-10-18 23:59:59.999000064,27259786.93776,71865,1774175.71,12670033.35709,0
2022-10-19,7.126,7.135,6.698,6.772,2898811.58,2022-10-19 23:59:59.999000064,20118068.56335,60537,1364680.52,9478781.39548,0
2022-10-20,6.773,6.912,6.601,6.657,3053738.2,2022-10-20 23:59:59.999000064,20681408.41961,61682,1425427.25,9656396.35759,0
2022-10-21,6.658,6.847,6.444,6.809,3884356.73,2022-10-21 23:59:59.999000064,25846102.59334,82234,1888781.91,12573735.14755,0
2022-10-22,6.81,6.931,6.725,6.868,1242501.08,2022-10-22 23:59:59.999000064,8500540.74031,36603,611854.19,4186856.20037,0
2022-10-23,6.87,7.092,6.799,7.066,2603397.53,2022-10-23 23:59:59.999000064,18020720.76184,57222,1330910.31,9214831.87619,0
2022-10-24,7.067,7.086,6.791,6.906,3517550.87,2022-10-24 23:59:59.999000064,24335258.79955,60570,1610008.75,11137918.32719,0
2022-10-25,6.908,7.28,6.814,7.063,5408134.51,2022-10-25 23:59:59.999000064,38086977.2091,105592,2606538.09,18377308.84477,0
2022-10-26,7.063,7.29,7.027,7.157,4195506.95,2022-10-26 23:59:59.999000064,30065054.06679,93369,2016119.32,14457070.34219,0
2022-10-27,7.158,7.365,6.858,6.892,4318895.49,2022-10-27 23:59:59.999000064,30714307.53915,98592,2072234.83,14761185.5893,0
2022-10-28,6.893,7.2,6.83,7.109,3195848.02,2022-10-28 23:59:59.999000064,22384385.43907,71963,1509748.56,10577528.15036,0
2022-10-29,7.108,7.661,7.076,7.636,5922885.58,2022-10-29 23:59:59.999000064,43586411.00135,130478,3033026.64,22336156.53874,0
2022-10-30,7.637,7.932,7.48,7.782,6277383.29,2022-10-30 23:59:59.999000064,48314353.79686,153138,3086064.64,23757304.30471,0
2022-10-31,7.783,8.333,7.664,7.857,8476588.97,2022-10-31 23:59:59.999000064,67630099.8215,211492,4268160.62,34068972.61474,0
2022-11-01,7.854,7.923,7.63,7.684,3790469.73,2022-11-01 23:59:59.999000064,29439256.27702,92032,1739604.58,13513178.42647,0
2022-11-02,7.683,8.0,7.338,7.437,8337674.08,2022-11-02 23:59:59.999000064,64029729.00664,190798,3993520.5,30672304.9193,0
2022-11-03,7.436,8.02,7.388,7.72,8014383.31,2022-11-03 23:59:59.999000064,62564608.05491,175418,3884037.24,30336159.03953,0
2022-11-04,7.72,8.898,7.66,8.715,11886503.72,2022-11-04 23:59:59.999000064,98774017.64201,292027,5912313.46,49166129.9632,0
2022-11-05,8.715,9.008,8.562,8.663,6375166.7,2022-11-05 23:59:59.999000064,55895433.24499,171233,3212926.23,28196880.84854,0
2022-11-06,8.664,8.772,8.094,8.101,5402107.02,2022-11-06 23:59:59.999000064,45910250.4759,128195,2504878.27,21304222.36861,0
2022-11-07,8.101,9.261,7.895,8.956,11376076.89,2022-11-07 23:59:59.999000064,97366046.73339,259312,5462708.95,46748663.22674,0
2022-11-08,8.956,9.47,6.578,7.708,36115113.39,2022-11-08 23:59:59.999000064,301313110.23092,877883,17264667.57,144255408.23904,0
2022-11-09,7.708,7.9,5.775,6.231,23647479.31,2022-11-09 23:59:59.999000064,159062051.39263,534761,11282005.51,76033943.53872,0
2022-11-10,6.232,7.51,6.087,7.21,18632257.98,2022-11-10 23:59:59.999000064,128075832.11045,394838,9541533.57,65643601.20622,0
2022-11-11,7.209,7.339,6.513,7.044,11210254.17,2022-11-11 23:59:59.999000064,77651501.14814,226301,5380165.14,37283989.85919,0
2022-11-12,7.045,7.074,6.158,6.281,15181553.03,2022-11-12 23:59:59.999000064,97643564.02154,268378,7555938.94,48621376.16163,0
2022-11-13,6.28,6.545,5.94,6.078,7288028.03,2022-11-13 23:59:59.999000064,45422401.31609,159288,3541810.03,22117361.85412,0
2022-11-14,6.077,6.438,5.69,6.291,12214030.16,2022-11-14 23:59:59.999000064,74288053.37186,264243,5629853.19,34247073.30603,0
2022-11-15,6.291,6.672,6.207,6.421,9028489.34,2022-11-15 23:59:59.999000064,58364458.60071,162347,4496031.02,29075790.64564,0
2022-11-16,6.421,6.564,6.077,6.179,6291977.07,2022-11-16 23:59:59.999000064,39562816.09355,122221,2871753.73,18075889.77238,0
2022-11-17,6.18,6.342,6.029,6.225,4888412.25,2022-11-17 23:59:59.999000064,30263489.00306,100903,2410301.52,14930365.3125,0
2022-11-18,6.224,6.44,6.069,6.183,5216596.13,2022-11-18 23:59:59.999000064,32627018.46391,87798,2489228.53,15560647.20524,0
2022-11-19,6.184,6.22,5.99,6.146,2913602.05,2022-11-19 23:59:59.999000064,17818230.55664,55789,1426472.72,8726948.72497,0
2022-11-20,6.146,6.252,5.709,5.768,4952741.6,2022-11-20 23:59:59.999000064,29792054.05031,89931,2380574.0,14339974.87827,0
2022-11-21,5.767,5.896,5.528,5.876,7858097.01,2022-11-21 23:59:59.999000064,45079333.64236,142035,4038486.35,23171799.80561,0
2022-11-22,5.874,6.485,5.837,6.422,11891787.33,2022-11-22 23:59:59.999000064,73312569.08168,206660,6159877.44,37999087.24869,0
2022-11-23,6.423,6.809,6.343,6.707,9877403.25,2022-11-23 23:59:59.999000064,64504866.00591,174060,4905410.35,32052145.61022,0
2022-11-24,6.708,6.978,6.586,6.831,6713104.24,2022-11-24 23:59:59.999000064,45421620.88419,137507,3487081.95,23586414.27711,0
2022-11-25,6.83,6.993,6.661,6.848,5761022.33,2022-11-25 23:59:59.999000064,39209013.52817,113315,2813200.02,19149681.65128,0
2022-11-26,6.848,7.299,6.824,7.156,8067345.14,2022-11-26 23:59:59.999000064,57109526.62374,134550,4154986.63,29432482.80417,0
2022-11-27,7.157,7.278,7.126,7.19,823407.5,2022-11-27 23:59:59.999000064,5922680.18351,16869,427425.14,3075707.64234,0
